date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:06	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:06%20GMT	https://themesdesign.in/stexo/layouts/vertical/zlib/deflate.js	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/zlib/deflate.js	(from https://themesdesign.in/stexo/layouts/plugins/datatables/jszip.min.js)
21:08:07	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:07%20GMT	https://themesdesign.in/stexo/layouts/vertical/zlib/inflate.js	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/zlib/inflate.js	(from https://themesdesign.in/stexo/layouts/plugins/datatables/jszip.min.js)
21:08:09	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:09%20GMT	https://themesdesign.in/stexo/layouts/vertical/xl/worksheets/sheet1.xml	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/xl/worksheets/sheet1.xml	(from https://themesdesign.in/stexo/layouts/plugins/datatables/buttons.html5.min.js)
21:08:09	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:09%20GMT	https://themesdesign.in/stexo/layouts/vertical/xl/workbook.xml	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/xl/workbook.xml	(from https://themesdesign.in/stexo/layouts/plugins/datatables/buttons.html5.min.js)
21:08:09	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:09%20GMT	https://themesdesign.in/stexo/layouts/vertical/xl/styles.xml	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/xl/styles.xml	(from https://themesdesign.in/stexo/layouts/plugins/datatables/buttons.html5.min.js)
21:08:09	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:09%20GMT	https://themesdesign.in/stexo/layouts/vertical/[Content_Types].xml	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/[Content_Types].xml	(from https://themesdesign.in/stexo/layouts/plugins/datatables/buttons.html5.min.js)
21:08:10	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:10%20GMT	https://themesdesign.in/stexo/layouts/vertical/buttons.pdf	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/buttons.pdf	(from https://themesdesign.in/stexo/layouts/plugins/datatables/buttons.html5.min.js)
21:08:11	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:11%20GMT	https://themesdesign.in/stexo/layouts/vertical/image	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/image	(from https://themesdesign.in/stexo/layouts/vertical/image/)
21:08:12	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:12%20GMT	https://themesdesign.in/stexo/layouts/vertical/specified%20parentLocale%20is%20not%20defined%20yet.%20See%20http:/momentjs.com/guides	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/specified%20parentLocale%20is%20not%20defined%20yet.%20See%20http_/momentjs.com/guides	(from https://themesdesign.in/stexo/layouts/vertical/specified%20parentLocale%20is%20not%20defined%20yet.%20See%20http://momentjs.com/guides/)
21:08:12	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:13%20GMT	https://themesdesign.in/stexo/layouts/vertical/isDSTShifted%20is%20deprecated.%20See%20http:/momentjs.com/guides	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/isDSTShifted%20is%20deprecated.%20See%20http_/momentjs.com/guides	(from https://themesdesign.in/stexo/layouts/vertical/isDSTShifted%20is%20deprecated.%20See%20http://momentjs.com/guides/)
21:08:13	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:13%20GMT	https://themesdesign.in/stexo/layouts/vertical/Trident	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/Trident	(from https://themesdesign.in/stexo/layouts/vertical/Trident/)
21:08:14	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:42:13%20GMT	https://themesdesign.in/stexo/layouts/vertical/Edge	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/Edge	(from https://themesdesign.in/stexo/layouts/vertical/Edge/)
